web-scraper-order,web-scraper-start-url,category,category-href,subcategory,subcategory-href,sub-sub-category,sub-sub-category-href,pagination,product-link,product-link-href,name,wholesale-sku,brand,packagesize,age group,color,width,height,construction,image-src,wheelbase,length,gender,easternprice,Diameter,Angle,Durometer
"1752773476-510","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 10x34 SINGLE SHEET BLACK","https://www.easternskatesupply.com/jessup-ultra-grip-10-x34-single-sheet-black.html","JESSUP ULTRA GRIP 10x34 SINGLE SHEET BLACK","1GJESSU0101034K","Jessup","1 SINGLE PIECE","All Ages","BLACK","10.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1560867612198_1GJESSU0101034K.png","","34.0""","ALL","$4.80","","",""
"1752773488-511","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 9x33 CHILDRESS SKATEFACE","https://www.easternskatesupply.com/jessup-ultra-grip-9x33-childress-skateface.html","JESSUP ULTRA GRIP 9x33 CHILDRESS SKATEFACE","1GJESSU0100CCSF","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1649451677988_1GJESSU0100CCSF.png","","33.0""","ALL","$10.00","","",""
"1752773499-512","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 9x33 CHILDRESS AMERCIAN MATTRESS","https://www.easternskatesupply.com/jessup-ultra-grip-9x33-childress-amercian-mattress.html","JESSUP ULTRA GRIP 9x33 CHILDRESS AMERCIAN MATTRESS","1GJESSU0100CCMT","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1649451677988_1GJESSU0100CCMT.png","","33.0""","ALL","$10.00","","",""
"1752773510-513","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 9x33 CHILDRESS INSPIRATIONDES","https://www.easternskatesupply.com/jessup-ultra-grip-9x33-childress-inspirationdes.html","JESSUP ULTRA GRIP 9x33 CHILDRESS INSPIRATIONDES","1GJESSU0100CCIN","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1649451677988_1GJESSU0100CCIN.png","","33.0""","ALL","$10.00","","",""
"1752773521-514","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 9x33 CHILDRESS BIRDISM","https://www.easternskatesupply.com/jessup-ultra-grip-9x33-childress-birdism.html","JESSUP ULTRA GRIP 9x33 CHILDRESS BIRDISM","1GJESSU0100CCBD","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/6/1649451677988_1GJESSU0100CCBD.png","","33.0""","ALL","$10.00","","",""
"1752773533-515","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 9x33 WHT OVERCAST","https://www.easternskatesupply.com/jessup-ultra-grip-9-x33-1-sheet-wht-overcast.html","JESSUP ULTRA GRIP 9x33 WHT OVERCAST","1GJESSU01009WOV","Jessup","1 SINGLE PIECE","All Ages","WHITE","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1583257515484_1GJESSU01009WOV.png","","33.0""","ALL","$10.00","","",""
"1752773544-516","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 9x33 WHT CHECK","https://www.easternskatesupply.com/jessup-ultra-grip-9-x33-1-sheet-wht-check.html","JESSUP ULTRA GRIP 9x33 WHT CHECK","1GJESSU01009WCH","Jessup","1 SINGLE PIECE","All Ages","PLAID","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1588269614047_1GJESSU01009WCH.png","","33.0""","ALL","$10.00","","",""
"1752773555-517","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 9x33 RAIN","https://www.easternskatesupply.com/jessup-ultra-grip-9-x33-1-sheet-blk-rain.html","JESSUP ULTRA GRIP 9x33 RAIN","1GJESSU01009KRN","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1583257515484_1GJESSU01009KRN.png","","33.0""","ALL","$10.00","","",""
"1752773567-518","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","https://www.easternskatesupply.com/skate/components/subcategory-1.html?p=2","JESSUP ULTRA GRIP 9x33 PARTLY CLOUDY","https://www.easternskatesupply.com/jessup-ultra-grip-9-x33-1-sheet-blk-partly-cloudy.html","JESSUP ULTRA GRIP 9x33 PARTLY CLOUDY","1GJESSU01009KPC","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1583257515484_1GJESSU01009KPC.png","","33.0""","ALL","$10.00","","",""
"1752773578-519","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","","JESSUP ULTRA GRIP 9x33 FOREST PRINT","https://www.easternskatesupply.com/jessup-ultra-grip-9-x33-1-sheet-blk-forest.html","JESSUP ULTRA GRIP 9x33 FOREST PRINT","1GJESSU01009KFO","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1583257515484_1GJESSU01009KFO.png","","33.0""","ALL","$10.00","","",""
"1752773589-520","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","","JESSUP ULTRA GRIP 9x33 WHITE","https://www.easternskatesupply.com/jessup-ultra-grip-9x33-white.html","JESSUP ULTRA GRIP 9x33 WHITE","1GJESSU0100933W","Jessup","1 SINGLE PIECE","All Ages","WHITE","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/G/1GJESSU0100933W.png","","33.0""","ALL","$4.00","","",""
"1752773600-521","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","","JESSUP ULTRA GRIP 9x33 SINGLE SHEET BLACK","https://www.easternskatesupply.com/jessup-ultra-grip-9-x33-single-sheet-black.html","JESSUP ULTRA GRIP 9x33 SINGLE SHEET BLACK","1GJESSU0100933K","Jessup","1 SINGLE PIECE","All Ages","BLACK","9.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1560867612198_1GJESSU0100933K.png","","33.0""","ALL","$4.00","","",""
"1752773611-522","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","","JESSUP ULTRA GRIP ROLL 11""x60' BLACK","https://www.easternskatesupply.com/jessup-ultra-grip-roll-11-x60-black.html","JESSUP ULTRA GRIP ROLL 11""x60' BLACK","1GJESRU110600KK","Jessup","1 SINGLE ROLL","All Ages","BLACK","11.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1560867612198_1GJESRU110600KK.png","","60'","ALL","$81.00","","",""
"1752773623-523","https://www.easternskatesupply.com/","Skate","https://www.easternskatesupply.com/skate.html","Components","https://www.easternskatesupply.com/skate/components.html","Griptape","https://www.easternskatesupply.com/skate/components/subcategory-1.html","","JESSUP ULTRA GRIP ROLL 10""x60' BLACK","https://www.easternskatesupply.com/jessup-ultra-grip-roll-10-x60-black.html","JESSUP ULTRA GRIP ROLL 10""x60' BLACK","1GJESRU100600KK","Jessup","1 SINGLE ROLL","All Ages","BLACK","10.0""","","","https://www.easternskatesupply.com/media/catalog/product/cache/98726862c4ca127a16ced75d6e69362e/1/5/1560867612198_1GJESRU100600KK.png","","60'","ALL","$74.00","","",""
